county,year,average_price
Clare,2013,118195.02970358814
Offaly,2014,118114.02353174603
Offaly,2016,117001.78490353697
Sligo,2016,116175.91908629441
Wexford,2013,115670.1142534381
Sligo,2014,115659.60147727272
Roscommon,2018,115298.61943117178
Leitrim,2019,115256.56715517241
Carlow,2014,114101.07730593608
Mayo,2015,113995.80466211085
Sligo,2012,113344.68348404256
Mayo,2016,112528.28363710333
Carlow,2013,112456.49234666667
Monaghan,2015,112257.83232954546
Tipperary,2013,111964.27228882833
Westmeath,2012,111889.8375925926
Leitrim,2018,111599.78925252525
Tipperary,2014,111380.84471383975
Offaly,2015,110959.54593803786
Leitrim,2011,109821.57406593407
Mayo,2013,109648.18355987055
Sligo,2013,109137.51087470449
Carlow,2012,108485.9577443609
Roscommon,2017,108264.27526387009
Donegal,2016,108205.86760190218
Westmeath,2014,108038.66656512606
Monaghan,2012,107735.74823863637
Westmeath,2013,107706.41914498141
Mayo,2012,107427.19483164983
Roscommon,2011,106903.60167381974
Cavan,2016,106775.4230848329
Mayo,2014,106201.15399812734
Donegal,2012,105751.77059743955
Cavan,2012,104653.21365558912
Longford,2018,104581.50715789474
Donegal,2015,103382.21312127236
Laois,2014,101752.41494672754
Offaly,2013,100924.76666666666
Longford,2011,100573.40915492957
Leitrim,2017,100410.6658
Laois,2013,99296.73283687943
Monaghan,2014,98340.13970674487
Leitrim,2012,97566.66349514564
Longford,2017,96113.84885644769
Laois,2012,95537.26637413395
Cavan,2015,94981.9259432799
Donegal,2013,92796.42725490197
Monaghan,2013,91859.29555555555
Donegal,2014,91845.57433774834
Roscommon,2016,91785.81328467153
Leitrim,2015,89730.20667351129
Leitrim,2016,88355.54442913386
Roscommon,2012,87474.08664819945
Longford,2016,83420.35151187905
Longford,2012,82972.45739336492
Cavan,2013,81840.96240704501
Roscommon,2015,81406.80362378976
Leitrim,2014,77995.22783163266
Roscommon,2013,77071.13633204633
Cavan,2014,76504.6808492823
Roscommon,2014,74926.60335676625
Longford,2015,72286.91647540983
Leitrim,2013,71999.26491279069
Longford,2014,68837.59495555556
Longford,2013,66752.09712121212
